Year,Code,Economy,GEDI Ranking,GEDI Score,Perceived Capabilities ,Perceived Opportunities ,Fear of Failure Rate ,Entrepreneurial Intention ,Know Startup Entrepreneur Rate ,Entrepreneurship as Desirable Career Choice,High Status Successful Entrepreneurship ,Media Attention for Entrepreneurship ,Nascent Entrepreneurship Rate ,New Business Ownership Rate ,Total early-stage Entrepreneurial Activity (TEA),Established Business Ownership Rate ,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,Total early-stage Entrepreneurial Activity for Male Working Age Population,Total early-stage Entrepreneurial Activity for Female Working Age Population,Informal Investors Rate,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,New Product early-stage Entrepreneurial Activity,International Orientation early-stage Entrepreneurial Activity,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic-school Entrepreneurial Education and training,Post-school entrepreneurial education and training,R&D Transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,WVSV10,WVSV100,WVSV11,WVSV12,WVSV13,WVSV134,WVSV137,WVSV14,WVSV144,WVSV145,WVSV146,WVSV147,WVSV148,WVSV15,WVSV150,WVSV152,WVSV16,WVSV17,WVSV18,WVSV181,WVSV182,WVSV188,WVSV19,WVSV190,WVS191,WVSV192,WVSV193,WVSV196,WVSV20,WVSV21,WVSV22,WVSV229,WVSV23,WVSV233,WVSV235,WVSV236,WVSV237,WVSV238,WVSV239,WVSV25,WVSV30,WVSV32,WVSV34,WVSV49,WVSV55,WVSV58,WVSV59,WVSV6,WVSV67,WVSV68,WVSV69,WVSV70,WVSV71,WVSV73,WVSV74,WVSV74B,WVSV75,WVSV76,WVSV77,WVSV78,WVSV79,WVSV8,WVSV82,WVSV83,WVSV96,WVSV97,WVSV98,WVSV99
2014,,Albania,72,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,213,Algeria,86,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8325,3.865833,2.135,1.6875,1.405,6.081667,5.469167,1.436667,108.76,3.694167,2.316667,0.7908333,1,1.765833,0.9758333,9.320833,1.385833,1.6875,1.648333,1.569167,1.484167,3.35,1.353333,3.195833,3.001667,6.83,6.478333,3.096667,1.656667,1.520833,1.8225,4.070833,6.075833,0.5941667,1.275833,-0.2716667,1.385833,2.621667,4.683333,0.1141667,0.0325,0.0791667,0.0366667,1.053333,6.401667,1.684167,5.855833,1.993333,2.014167,1.046667,1.3275,2.323333,2.8275,2.055833,2.175,2.166667,2.029167,3.0525,2.386667,2.291667,1.7925,1.316667,1.761667,1.834167,5.940833,5.304167,3.340833,3.11
2014,244,Angola,89,28.7,61.68,69.75,44.81,39.34,72.9,75.1,81.65,71.69,9.52,12.36,21.5,6.5,24.45,43.41,22.79,20.37,16.09,23.67,40.91,14.07,2.63,2.58,2.16,2.4,1.91,2.22,1.77,2.73,2.98,2.17,2.36,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,54,Argentina,57,38.4,57.78,31.91,23.54,27.83,29.71,57.82,52.2,63.63,9.47,5.21,14.41,9.09,28.03,43.51,17.84,11.22,5.22,25.85,46.41,4.83,2.03,2.08,1.49,2.7,1.82,3.11,2.49,2.85,3.24,2.53,3.31,3.01,1.783495,3.9,2.024272,1.549515,1.43301,6.800971,6.106796,1.593204,48.00777,4.798058,4.658252,1.239806,1.037864,1.327184,1.620388,7.035922,1.591262,1.137864,1.281553,2.417476,2.281553,3.624272,1.204854,3.561165,3.438835,6.890291,7.213592,4.850485,1.425243,1.31165,1.138835,-4,7.386408,5.459223,1.48835,1.169903,1.929126,3.372816,4.971845,0.5087379,0.123301,0.1932039,0.1271845,1.884466,7.192233,1.737864,6.373786,1.848544,2.167961,1.417476,1.348544,2.473786,4.382524,2.753398,2.5,-4,3.08932,3.546602,2.719417,2.629126,2.672816,1.527184,1.838835,1.841748,4.425243,5.449515,4.479612,4.33301
2014,61,Australia,3,77.9,46.8,45.72,39.21,10.02,27.69,53.35,67.09,72.56,7.65,5.69,13.14,9.8,17.6,63.78,15.97,10.32,5.1,29,44.47,12.1,2.34,1.83,2.44,2.23,2.19,2.85,2.18,3.42,3.03,2.79,3.91,3.19,1.664184,3.56195,1.925525,1.356127,1.455653,6.085985,3.517265,1.296547,2225.12,5.379824,5.383209,1.661476,1.257278,1.631009,1.702776,5.264726,1.117806,1.69262,1.50914,2.729858,2.734597,3.792823,1.824645,3.675017,3.564658,7.459716,7.336493,4.020311,1.505755,1.71564,1.645904,2.71564,7.287068,7.04807,1.332431,1.174001,1.996615,2.955315,4.645904,0.5538253,0.1394719,0.4732566,0.1252539,2.080569,7.687204,1.9587,6.509817,1.531483,1.717671,1.492891,1.343263,2.857143,4.53893,3.783345,2.620176,-4,3.64455,4.020988,2.660122,2.533514,3.255924,1.780636,1.652674,1.708192,4.595802,4.580907,5.597156,3.147596
2014,43,Austria,18,64,48.67,44.4,34.92,8.15,35.31,,,,5.8,3.06,8.71,9.86,10.95,37.37,10.38,7.06,5.77,14.84,47.14,24.74,2.51,2.46,2.6,3.58,1.66,3.02,2.82,3.4,2.49,3.33,4.12,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Bahrain,38,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1075,5.951667,2.049167,1.6025,1.681667,4.880833,4.9225,1.631667,-4,2.2225,-4,1.134167,-4,1.800833,1.381667,8.604167,1.631667,1.758333,1.7325,2.711667,2.273333,2.930833,1.646667,2.900833,2.9375,6.783333,6.745,6.564167,1.775,1.813333,1.871667,3.250833,6.766667,3.995,2.221667,0.88,1.420833,2.328333,4.685833,0.3775,0.35,0.3433333,0.3083333,1.788333,6.820833,1.88,6.415833,2.333333,2.12,1.615833,1.669167,2.426667,2.551667,2.475833,2.409167,2.446667,2.514167,2.915,2.930833,2.695,2.500833,2.145,0.9441667,-4,6.135,6.061667,5.920833,5.835
2014,,Bangladesh,121,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,246,Barbados,56,38.5,63.51,38.16,23.44,11.48,45.49,57.61,58.5,46.3,8.48,4.23,12.71,7.09,14.56,53.13,14.33,11.23,5.22,13.59,38.7,30.22,2.42,2.42,1.87,2.3,1.71,2.96,1.78,2.72,2.06,2.42,3.75,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,32,Belgium,14,66.5,30.4,35.93,49.35,10.55,19.48,52.41,51.73,50.82,2.93,2.55,5.4,3.54,30.67,43.12,7.65,3.14,3.18,16.88,47.63,32.72,3.38,2.62,1.98,2.71,1.95,2.75,2.99,3.74,2.5,3.19,3.79,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,501,Belize,,,69,49.55,32.63,10.09,50.83,57.8,55.46,43.25,4.25,3.02,7.14,3.74,13.07,47.61,7.81,6.45,6.36,21.17,30.67,20.69,2.14,2.55,2.2,2.45,2.05,2.53,1.77,2.68,2.31,2.54,3.41,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Benin,98,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,591,Bolivia,78,31.1,73.11,57.67,38.39,46.94,48.13,70.26,77,76.5,21.51,7.07,27.4,7.59,22.84,51.7,29.89,24.98,9.91,20.4,67.9,5.15,2.25,2.15,1.97,2.34,2.13,3.11,2.33,2.81,2.98,2.65,3.3,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,387,Bosnia and Herzegovina,92,27.8,47.3,19.59,26.8,20.43,28.55,78.15,69.94,39.85,4.48,2.94,7.42,6.67,50.83,25.16,10.6,4.25,4.04,32.88,24.45,17.94,2.29,2.13,1.74,2.07,2.06,2.43,1.96,2.92,3.35,2.16,3.35,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,267,Botswana,64,35.6,67.14,57.16,13.7,63.37,45.41,69.94,78.11,74.55,23.13,11.13,32.79,4.95,30.25,54.71,34.79,30.93,10.14,35.94,39.71,9.6,2.71,2.61,2.62,2.71,2.74,3.09,2.45,2.56,2.88,2.04,3,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,55,Brazil,81,30.4,49.96,55.54,35.56,24.5,37.71,,,,3.66,13.79,17.23,17.51,28.95,57.81,17.01,17.45,1.69,11.06,21.88,0.6,2.46,2.4,1.46,2.24,1.48,2.54,2,2.5,3.36,2.24,2.93,2.36,1.736878,4.128533,2.091521,1.622476,1.363392,6.950202,5.311575,1.2214,45.47376,3.147376,2.374159,1.1393,1.005384,1.761104,1.792059,9.506729,1.358008,1.735532,1.718035,1.91319,1.40175,3.674966,1.493943,3.284657,3.420592,6.67362,7.258412,4.538358,1.681023,1.483176,1.913863,3.429341,7.833109,5.343203,1.438089,1.168237,2.024226,3.772544,4.294751,1.227456,0.0578735,0.2449529,0.1002692,1.60969,7.559219,2.002692,6.205922,1.800808,2.201884,1.2786,1.246299,2.559892,4.846568,2.613055,1.95424,1.781965,3.09825,4.263122,2.341184,2.086137,2.47712,1.388291,1.91319,1.915209,4.950875,5.043742,3.92463,3.485195
2014,,Brunei Darussalam,54,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Bulgaria,37,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,226,Burkina Faso,110,19.9,65.89,63.61,23.75,42.34,63.28,,,,12.72,9.75,21.71,17.68,22.27,52.84,25.39,18.71,8.78,19.7,22.85,0.98,2.09,2.88,3.09,3.04,1.26,2.78,1.77,2.8,2.24,2.37,3.04,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Burundi,119,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,237,Cameroon,98,24.7,73.77,69.34,22.8,55.57,58.61,,,,26.35,13.7,37.37,11.5,33.46,40.51,40.94,34.1,19.07,19.62,26.92,6.61,2.16,3.18,2.8,2.86,2.19,3.23,2.05,2.86,2.4,2.77,3.3,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,101,Canada,2,81.7,48.98,55.52,36.52,11.96,30.89,57.25,69.72,67.73,7.93,5.61,13.04,9.35,15.67,63.34,16.23,9.93,5.45,31.33,48.81,19.8,3.1,2.5,2.85,2.86,2.32,3.14,2.57,3.49,2.31,2.95,4.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Chad,120,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,56,Chile,16,65.1,64.87,67,28.39,50.14,48.31,69.43,64.43,65.21,16.61,11.05,26.83,8.79,17.63,62.18,30.1,23.68,16.08,43.21,89.03,14.62,2.35,2.77,2.91,3.06,1.63,2.98,2.2,2.8,2.18,2.57,4.33,3.09,1.905,4.712,2.112,1.508,1.695,7.207,6.506,1.231,47.827,4.361,1.928,1.409,1.015,1.778,1.654,7.882,1.18,1.636,1.464,2.114,1.926,3.465,1.725,3.192,3.193,6.547,6.872,5.085,1.573,1.542,1.636,2.856,7.158,4.827,1.471,-1.059,1.733,3.142,4.284,0.617,0.099,0.191,0.085,1.74,7.116,1.916,5.975,1.515,1.637,1.325,1.245,2.158,3.5,2.037,1.85,-4,2.74,3.173,2.326,2.238,2.254,1.464,1.728,1.797,3.425,6.238,4.134,3.969
2014,86,China,47,41.6,32.97,31.88,39.5,19.33,56,65.68,72.91,69.28,5.45,10.17,15.53,11.59,33.22,45.41,16.83,14.18,4.45,24.28,60.66,3.51,2.59,3.07,2.76,2.54,1.77,2.81,2.48,2.69,3.81,2.64,4.19,2.89,1.951304,3.284783,2.13,1.309565,1.252609,6.808696,6.45913,1.341304,3.802174,6.372174,7.1,1.992609,1.438696,1.830435,0.5643478,2.712609,1.470435,1.501304,1.74087,1.575217,1.413043,2.94,1.986087,2.706522,2.667826,6.377391,6.14087,2.276522,1.706087,1.927391,1.894783,2.442174,6.678261,2.676957,1.557826,-0.6034783,1.509565,3.446087,3.771739,0.0421739,0.0308696,0.0230435,0.0391304,1.800435,6.634783,1.453478,6.020435,1.905217,2.113913,1.003913,1.374783,3.086522,3.13913,3.522609,2.43,2.238696,2.835217,3.803913,2.83,2.540435,2.606522,1.656522,1.872609,1.90913,3.993913,4.710435,4.153043,3.235217
2014,57,Colombia,25,49.8,57.41,65.74,30.7,47.01,26.77,70.45,67.13,74.42,12.39,6.66,18.55,4.86,33.33,51.55,22.78,14.57,3.87,61.99,59.11,11.82,2.37,2.75,2.41,2.95,2.14,2.97,2.17,2.79,2.7,2.55,3.38,2.97,1.521164,4.734788,1.992725,1.635582,1.864418,5.652116,4.570106,1.179894,42.71362,3.437169,2.383598,1.160053,1.010582,1.792328,1.83664,9.501984,1.136243,1.705688,1.756614,1.403439,1.28373,3.130291,1.396825,3.150794,3.121693,6.888889,6.864418,5.159392,1.542328,1.335979,1.685185,3.849868,8.388228,6.217593,1.628968,-0.327381,2.253968,3.761905,4.973545,1.168651,0.2559524,0.218254,0.234127,1.647487,8.12963,1.938492,6.691799,1.661376,2.222222,1.257275,1.173942,2.408069,4.390212,2.596561,1.857804,1.837963,2.545635,3.837302,2.231481,1.737434,2.035053,1.25463,1.895503,1.813492,4.967593,5.316799,4.632937,4.171958
